Incoming,Answered,Abandoned,Answertime,Duration,Waitingtime
112,104,8,43,157,247
110,91,19,50,158,312
24,22,2,32,134,286
168,154,14,36,164,232
146,116,30,42,148,900
100,95,5,31,158,173
144,131,13,26,147,157
110,104,6,24,146,142
126,111,15,31,158,276
24,24,0,48,174,284
128,122,6,35,179,162
185,176,9,27,143,305
136,114,22,57,145,331
130,116,14,44,161,360
103,101,2,18,162,143
99,89,10,20,147,90
26,24,2,23,120,113
95,94,1,21,151,214
136,131,5,17,149,141
37,34,3,41,131,346
105,100,5,22,150,132
100,92,8,30,147,275
115,103,12,44,166,275
38,36,2,39,176,174
108,95,13,26,169,166
124,118,6,23,151,181
97,92,5,25,156,143
117,108,9,37,106,243
34,31,3,27,157,152
53,50,3,28,131,196
29,23,6,42,167,220
120,107,13,34,159,201
107,100,7,33,153,128
173,159,14,47,164,330
256,213,43,44,165,318
199,174,25,36,155,275
182,170,12,40,164,207
42,41,1,42,173,220
181,168,13,34,155,163
159,147,12,30,156,279
142,134,8,26,170,110
194,163,31,30,158,331
235,210,25,38,173,275
206,180,26,51,167,423
58,47,11,48,156,275
212,194,18,38,153,261
232,214,18,34,156,330
348,327,21,32,148,440
167,156,11,32,163,177
167,157,10,27,177,319
166,161,5,21,165,92
32,28,4,22,163,455
52,49,3,32,178,182
154,149,5,26,172,110
223,218,5,18,127,120
170,157,13,17,184,385
145,133,12,26,176,219
144,138,6,17,173,165
16,15,1,17,180,165
135,131,4,20,157,120
137,133,4,24,169,166
149,144,5,17,159,122
155,143,12,16,161,385
128,121,7,19,175,275
134,125,9,21,158,198
21,21,0,23,157,170
150,138,12,30,172,256
163,158,5,14,148,121
160,151,9,12,159,177
132,125,7,30,166,227
131,126,5,17,167,155
158,146,12,21,162,220
19,16,3,51,166,254
151,128,23,52,150,338
139,128,11,32,164,214
166,135,31,41,160,309
258,196,62,70,150,471
203,176,27,40,150,549
182,162,20,25,168,220
18,17,1,55,241,346
215,170,45,55,169,446
209,203,6,25,162,220
140,134,6,20,179,201
124,110,14,15,176,496
179,163,16,23,164,257
163,161,2,10,160,111
27,27,0,5,168,19
182,175,7,19,158,188
164,159,5,11,143,388
160,159,1,5,160,58
174,155,19,16,161,399
235,230,5,5,147,110
175,174,1,4,146,113
25,25,0,4,195,55
170,167,3,6,155,220
187,168,19,26,140,289
53,51,2,6,149,110
121,117,4,13,156,161
143,139,4,5,146,116
100,96,4,6,148,110
17,17,0,8,175,59
113,110,3,8,153,78
139,128,11,13,158,220
135,134,1,4,154,110
29,29,0,15,193,89
120,116,4,5,163,165
115,108,7,9,170,265
14,14,0,14,137,74
107,104,3,7,149,58
137,128,9,10,150,123
106,105,1,11,167,113
116,108,8,19,146,153
120,117,3,9,157,65
123,121,2,7,147,115
31,31,0,3,138,3
140,139,1,8,159,71
168,161,7,18,144,144
146,144,2,6,158,58
110,106,4,15,170,150
342,333,9,15,130,159
190,183,7,16,152,119
25,24,1,6,142,48
169,162,7,9,151,276
130,129,1,11,150,112
22,20,2,9,195,110
5,5,0,28,145,74
119,115,4,11,148,110
140,138,2,9,137,131
22,22,0,6,141,48
126,124,2,8,155,58
122,111,11,13,163,133
113,108,5,13,151,87
119,109,10,17,156,315
134,119,15,24,166,165
101,97,4,16,153,98
20,20,0,4,144,18
169,162,7,17,152,331
137,133,4,29,157,162
133,127,6,18,159,276
184,179,5,10,123,164
145,135,10,21,155,190
114,108,6,14,151,153
24,23,1,5,132,55
143,136,7,9,152,330
119,114,5,8,142,79
123,118,5,21,166,164
145,141,4,14,156,110
108,106,2,26,170,297
128,125,3,13,165,102
27,26,1,20,171,160
155,151,4,11,152,138
116,110,6,18,143,167
117,111,6,18,163,126
113,105,8,31,157,220
107,101,6,23,164,191
146,141,5,25,142,166
29,26,3,9,157,110
231,228,3,15,129,206
239,215,24,23,156,275
174,154,20,29,160,308
168,163,5,21,169,165
135,128,7,18,156,330
122,113,9,30,169,220
13,12,1,24,165,72
20,18,2,23,163,164
152,141,11,22,161,269
132,131,1,12,159,120
180,171,9,21,171,159
193,189,4,13,155,146
245,236,9,13,164,140
35,34,1,11,131,104
